Starting Stratum Web Server on http://localhost:8080...
Integrated MCP SSE Server listening at http://localhost:8080/api/mcp
2026/09/10 18:58:29 [HTTP] GET /api/projects - 200 (128.905µs)
2026/09/10 18:58:29 [HTTP] GET /api/export/files?project=6G - 200 (1.028275ms)
2026/09/10 18:58:30 [HTTP] GET /api/export/check-db?project=6G&file=6G.db - 200 (496.018252ms)
2026/09/10 18:58:30 [HTTP] GET /api/export/check-db?project=6G&file=6G.db - 200 (483.401178ms)
2026/09/10 18:59:10 [HTTP] GET /api/workspace - 200 (18.881µs)
2026/09/10 18:59:10 [HTTP] GET /api/projects - 200 (124.311µs)
2026/09/10 18:59:10 [HTTP] GET /api/export/files?project=6G - 200 (1.858366ms)
2026/09/10 18:59:10 [HTTP] GET /api/workspace - 200 (23.452µs)
2026/09/10 18:59:10 [HTTP] GET /api/projects - 200 (60.088µs)
2026/09/10 18:59:10 [HTTP] GET /api/export/files?project=6G - 200 (1.449251ms)
2026/09/10 18:59:11 [HTTP] GET /api/export/check-db?project=6G&file=6G.db - 200 (483.005494ms)
2026/09/10 18:59:11 [HTTP] GET /api/export/check-db?project=6G&file=6G.db - 200 (499.995762ms)
2026/09/10 18:59:22 [HTTP] GET /api/projects - 200 (88.922µs)
2026/09/10 18:59:22 [HTTP] GET /api/workspace - 200 (43.783µs)
2026/09/10 18:59:22 [HTTP] GET /api/export/files?project=6G - 200 (1.84208ms)
2026/09/10 18:59:22 [HTTP] GET /api/projects - 200 (76.308µs)
2026/09/10 18:59:22 [HTTP] GET /api/workspace - 200 (20.299µs)
2026/09/10 18:59:22 [HTTP] GET /api/export/files?project=6G - 200 (1.098954ms)
2026/09/10 18:59:23 [HTTP] GET /api/export/check-db?project=6G&file=6G.db - 200 (496.390755ms)
2026/09/10 18:59:23 [HTTP] GET /api/export/check-db?project=6G&file=6G.db - 200 (481.997117ms)
2026/09/10 18:59:44 [HTTP] GET /api/projects - 200 (67.335µs)
2026/09/10 18:59:44 [HTTP] GET /api/workspace - 200 (33.304µs)
2026/09/10 18:59:44 [HTTP] GET /api/export/files?project=6G - 200 (1.693101ms)
2026/09/10 18:59:44 [HTTP] GET /api/projects - 200 (62.206µs)
2026/09/10 18:59:44 [HTTP] GET /api/workspace - 200 (31.444µs)
2026/09/10 18:59:44 [HTTP] GET /api/export/files?project=6G - 200 (1.204432ms)
2026/09/10 18:59:45 [HTTP] GET /api/export/check-db?project=6G&file=6G.db - 200 (501.527861ms)
2026/09/10 18:59:45 [HTTP] GET /api/export/check-db?project=6G&file=6G.db - 200 (470.678123ms)
2026/09/10 19:01:38 [HTTP] GET /api/workspace - 200 (55.868µs)
